date,close,pivot,resistance,realized_vol_20d,median_vol_500d,vol_scale,state,position_pct
2016-01-05,4487.8,4520.166666666667,4605.533333333334,,,,0,0.0
2016-01-06,4458.6,4492.799999999999,4523.199999999999,,,,0,0.0
2016-01-07,4301.4,4447.5,4503.8,,,,0,0.0
2016-01-08,4269.2,4350.166666666667,4414.733333333334,,,,0,0.0
2016-01-10,4236.8,4301.333333333333,4342.166666666666,,,,0,0.0
2016-01-11,4287.2,4245.333333333333,4258.466666666666,,,,0,0.0
2016-01-12,4323.2,4269.666666666667,4326.033333333334,,,,0,0.0
2016-01-13,4179.0,4304.966666666667,4368.533333333335,,,,0,0.0
2016-01-14,4265.6,4239.933333333333,4308.366666666667,,,,0,0.0
2016-01-15,4149.6,4232.7,4337.5,,,,0,0.0
2016-01-17,4133.4,4167.366666666667,4255.133333333333,,,,0,0.0
2016-01-18,4141.6,4129.033333333334,4146.766666666667,,,,0,0.0
2016-01-19,4154.4,4148.666666666667,4174.233333333334,,,,0,0.0
2016-01-20,4151.0,4156.266666666666,4217.833333333333,,,,0,0.0
2016-01-21,4141.2,4104.433333333333,4221.666666666667,,,,0,0.0
2016-01-22,4250.8,4142.133333333334,4194.866666666669,,,,0,0.0
2016-01-24,4251.0,4209.8,4297.3,,,,0,0.0
2016-01-25,4183.6,4254.366666666666,4259.833333333332,,,,0,0.0
2016-01-26,4202.4,4208.866666666667,4237.733333333334,,,,0,0.0
2016-01-27,4141.6,4195.366666666667,4254.133333333333,0.015885665648847407,,,0,0.0
2016-01-28,4145.8,4156.266666666667,4207.2333333333345,0.015920723871918507,,,0,0.0
2016-01-29,4273.2,4152.599999999999,4195.199999999999,0.01767264987485278,,,0,0.0
2016-01-31,4265.1,4226.433333333333,4320.866666666667,0.015845588639138666,,,0,0.0
2016-02-01,4275.2,4268.1,4272.6,0.015763517507036865,,,0,0.0
2016-02-02,4187.4,4272.966666666667,4314.533333333335,0.0163545451915773,,,0,0.0
2016-02-03,4175.2,4215.533333333334,4257.166666666668,0.01609898818619933,,,0,0.0
2016-02-04,4146.8,4162.066666666667,4230.733333333334,0.015980442530411868,,,0,0.0
2016-02-05,4022.1,4157.233333333334,4198.166666666667,0.015654462717028847,,,0,0.0
2016-02-07,4020.8,4067.3333333333335,4130.966666666667,0.014741897282200083,,,0,0.0
2016-02-08,3954.8,4023.1,4027.1,0.013982391661056059,,,0,0.0
2016-02-09,3960.2,3962.7000000000003,4040.1000000000004,0.01400038049876835,,,0,0.0
2016-02-10,3955.3,3955.433333333333,4011.266666666666,0.01397008845361947,,,0,0.0
2016-02-11,3972.8,3974.3333333333335,4024.166666666667,0.013999857698998816,,,0,0.0
2016-02-12,4017.0,3941.533333333333,4018.466666666666,0.01431048301615505,,,0,0.0
2016-02-14,4037.6,3997.4666666666667,4039.3333333333335,0.014385717824412598,,,0,0.0
2016-02-15,4073.1,4034.933333333333,4043.266666666666,0.013082739405493935,,,0,0.0
