date,close,pivot,resistance,realized_vol_20d,median_vol_500d,vol_scale,state,position_pct
2016-01-05 00:00:00,4487.8,4520.166666666667,4605.533333333334,,,,0,0.0
2016-01-06 00:00:00,4458.6,4492.799999999999,4523.199999999999,,,,0,0.0
2016-01-07 00:00:00,4301.4,4447.5,4503.8,,,,0,0.0
2016-01-08 00:00:00,4269.2,4350.166666666667,4414.733333333334,,,,0,0.0
2016-01-10 00:00:00,4236.8,4301.333333333333,4342.166666666666,,,,0,0.0
2016-01-11 00:00:00,4287.2,4245.333333333333,4258.466666666666,,,,0,0.0
2016-01-12 00:00:00,4323.2,4269.666666666667,4326.033333333334,,,,0,0.0
2016-01-13 00:00:00,4179.0,4304.966666666667,4368.533333333335,,,,0,0.0
2016-01-14 00:00:00,4265.6,4239.933333333333,4308.366666666667,,,,0,0.0
2016-01-15 00:00:00,4149.6,4232.7,4337.5,,,,0,0.0
2016-01-17 00:00:00,4133.4,4167.366666666667,4255.133333333333,,,,0,0.0
2016-01-18 00:00:00,4141.6,4129.033333333334,4146.766666666667,,,,0,0.0
2016-01-19 00:00:00,4154.4,4148.666666666667,4174.233333333334,,,,0,0.0
2016-01-20 00:00:00,4151.0,4156.266666666666,4217.833333333333,,,,0,0.0
2016-01-21 00:00:00,4141.2,4104.433333333333,4221.666666666667,,,,0,0.0
2016-01-22 00:00:00,4250.8,4142.133333333334,4194.866666666669,,,,0,0.0
2016-01-24 00:00:00,4251.0,4209.8,4297.3,,,,0,0.0
2016-01-25 00:00:00,4183.6,4254.366666666666,4259.833333333332,,,,0,0.0
2016-01-26 00:00:00,4202.4,4208.866666666667,4237.733333333334,,,,0,0.0
2016-01-27 00:00:00,4141.6,4195.366666666667,4254.133333333333,0.0158856656488474,,,0,0.0
2016-01-28 00:00:00,4145.8,4156.266666666667,4207.233333333335,0.0159207238719185,,,0,0.0
2016-01-29 00:00:00,4273.2,4152.599999999999,4195.199999999999,0.0176726498748527,,,0,0.0
2016-01-31 00:00:00,4265.1,4226.433333333333,4320.866666666667,0.0158455886391386,,,0,0.0
2016-02-01 00:00:00,4275.2,4268.1,4272.6,0.0157635175070368,,,0,0.0
2016-02-02 00:00:00,4187.4,4272.966666666667,4314.533333333335,0.0163545451915773,,,0,0.0
2016-02-03 00:00:00,4175.2,4215.533333333334,4257.166666666668,0.0160989881861993,,,0,0.0
2016-02-04 00:00:00,4146.8,4162.066666666667,4230.733333333334,0.0159804425304118,,,0,0.0
2016-02-05 00:00:00,4022.1,4157.233333333334,4198.166666666667,0.0156544627170288,,,0,0.0
2016-02-07 00:00:00,4020.8,4067.3333333333335,4130.966666666667,0.0147418972822,,,0,0.0
